Full Name,Gender,Date of Birth,Parliament Name,D I P S,E O P T
FirstNameMA2014_115 LastNameMA2014_115,Male,24.07.63,National Assembly of Malawi,09.06.14 00:00,20.05.19 00:00
FirstNameMA2014_116 LastNameMA2014_116,Male,15.04.59,National Assembly of Malawi,09.06.14 00:00,20.05.19 00:00
FirstNameMA2014_117 LastNameMA2014_117,Male,24.06.58,National Assembly of Malawi,09.06.14 00:00,20.05.19 00:00
FirstNameMA2014_118 LastNameMA2014_118,Male,01.03.71,National Assembly of Malawi,09.06.14 00:00,20.05.19 00:00
FirstNameMA2014_119 LastNameMA2014_119,Male,04.02.65,National Assembly of Malawi,09.06.14 00:00,20.05.19 00:00
FirstNameMA2014_120 LastNameMA2014_120,Male,02.10.71,National Assembly of Malawi,09.06.14 00:00,20.05.19 00:00
FirstNameMA2014_121 LastNameMA2014_121,Male,30.08.67,National Assembly of Malawi,09.06.14 00:00,20.05.19 00:00
FirstNameMA2014_122 LastNameMA2014_122,Male,08.03.60,National Assembly of Malawi,09.06.14 00:00,20.05.19 00:00
FirstNameMA2014_123 LastNameMA2014_123,Male,20.01.62,National Assembly of Malawi,09.06.14 00:00,20.05.19 00:00
FirstNameMA2014_124 LastNameMA2014_124,Male,18.04.57,National Assembly of Malawi,09.06.14 00:00,20.05.19 00:00
FirstNameMA2014_125 LastNameMA2014_125,Male,04.10.55,National Assembly of Malawi,09.06.14 00:00,20.05.19 00:00
FirstNameMA2014_126 LastNameMA2014_126,Female,15.04.57,National Assembly of Malawi,09.06.14 00:00,20.05.19 00:00
FirstNameMA2014_127 LastNameMA2014_127,Male,23.05.63,National Assembly of Malawi,09.06.14 00:00,20.05.19 00:00
FirstNameMA2014_128 LastNameMA2014_128,Female,20.05.72,National Assembly of Malawi,09.06.14 00:00,20.05.19 00:00
FirstNameMA2014_129 LastNameMA2014_129,Male,09.10.69,National Assembly of Malawi,09.06.14 00:00,20.05.19 00:00
FirstNameMA2014_130 LastNameMA2014_130,Male,13.04.68,National Assembly of Malawi,09.06.14 00:00,20.05.19 00:00
FirstNameMA2014_131 LastNameMA2014_131,Male,12.04.62,National Assembly of Malawi,09.06.14 00:00,20.05.19 00:00
FirstNameMA2014_132 LastNameMA2014_132,Male,20.05.64,National Assembly of Malawi,09.06.14 00:00,20.05.19 00:00
FirstNameMA2014_133 LastNameMA2014_133,Female,24.07.72,National Assembly of Malawi,09.06.14 00:00,20.05.19 00:00
FirstNameMA2014_134 LastNameMA2014_134,Male,27.09.48,National Assembly of Malawi,09.06.14 00:00,20.05.19 00:00
FirstNameMA2014_135 LastNameMA2014_135,Male,11.11.49,National Assembly of Malawi,09.06.14 00:00,20.05.19 00:00
FirstNameMA2014_136 LastNameMA2014_136,Male,25.05.58,National Assembly of Malawi,09.06.14 00:00,20.05.19 00:00
FirstNameMA2014_137 LastNameMA2014_137,Male,24.09.46,National Assembly of Malawi,09.06.14 00:00,20.05.19 00:00
FirstNameMA2014_138 LastNameMA2014_138,Male,28.10.62,National Assembly of Malawi,09.06.14 00:00,20.05.19 00:00
FirstNameMA2014_139 LastNameMA2014_139,Male,16.04.54,National Assembly of Malawi,09.06.14 00:00,20.05.19 00:00
FirstNameMA2014_140 LastNameMA2014_140,Female,10.02.53,National Assembly of Malawi,09.06.14 00:00,20.05.19 00:00
FirstNameMA2014_141 LastNameMA2014_141,Female,14.12.51,National Assembly of Malawi,09.06.14 00:00,20.05.19 00:00
FirstNameMA2014_142 LastNameMA2014_142,Male,25.06.66,National Assembly of Malawi,09.06.14 00:00,20.05.19 00:00
FirstNameMA2014_143 LastNameMA2014_143,Female,10.10.55,National Assembly of Malawi,09.06.14 00:00,20.05.19 00:00
FirstNameMA2014_144 LastNameMA2014_144,Male,22.01.52,National Assembly of Malawi,09.06.14 00:00,20.05.19 00:00
FirstNameMA2014_145 LastNameMA2014_145,Male,14.07.52,National Assembly of Malawi,09.06.14 00:00,20.05.19 00:00
FirstNameMA2014_146 LastNameMA2014_146,Male,04.09.69,National Assembly of Malawi,09.06.14 00:00,20.05.19 00:00
FirstNameMA2014_147 LastNameMA2014_147,Male,11.09.62,National Assembly of Malawi,09.06.14 00:00,20.05.19 00:00
FirstNameMA2014_148 LastNameMA2014_148,Male,30.03.58,National Assembly of Malawi,09.06.14 00:00,20.05.19 00:00
FirstNameMA2014_149 LastNameMA2014_149,Male,01.07.56,National Assembly of Malawi,09.06.14 00:00,20.05.19 00:00
FirstNameMA2014_150 LastNameMA2014_150,Male,06.09.66,National Assembly of Malawi,09.06.14 00:00,20.05.19 00:00
FirstNameMA2014_151 LastNameMA2014_151,Male,24.09.74,National Assembly of Malawi,09.06.14 00:00,20.05.19 00:00
FirstNameMA2014_152 LastNameMA2014_152,Male,01.10.64,National Assembly of Malawi,09.06.14 00:00,20.05.19 00:00
FirstNameMA2014_153 LastNameMA2014_153,Male,24.06.69,National Assembly of Malawi,09.06.14 00:00,20.05.19 00:00
FirstNameMA2014_154 LastNameMA2014_154,Male,06.07.38,National Assembly of Malawi,09.06.14 00:00,20.05.19 00:00
FirstNameMA2014_155 LastNameMA2014_155,Male,24.08.46,National Assembly of Malawi,09.06.14 00:00,20.05.19 00:00
FirstNameMA2014_156 LastNameMA2014_156,Male,15.06.66,National Assembly of Malawi,09.06.14 00:00,20.05.19 00:00
FirstNameMA2014_157 LastNameMA2014_157,Male,13.09.53,National Assembly of Malawi,09.06.14 00:00,20.05.19 00:00
FirstNameMA2014_158 LastNameMA2014_158,Male,28.01.54,National Assembly of Malawi,09.06.14 00:00,20.05.19 00:00
FirstNameMA2014_159 LastNameMA2014_159,Male,23.10.69,National Assembly of Malawi,09.06.14 00:00,20.05.19 00:00
FirstNameMA2014_160 LastNameMA2014_160,Male,20.12.57,National Assembly of Malawi,09.06.14 00:00,20.05.19 00:00
FirstNameMA2014_161 LastNameMA2014_161,Male,04.08.58,National Assembly of Malawi,09.06.14 00:00,20.05.19 00:00
FirstNameMA2014_162 LastNameMA2014_162,Male,30.01.67,National Assembly of Malawi,09.06.14 00:00,20.05.19 00:00
FirstNameMA2014_163 LastNameMA2014_163,Male,19.04.61,National Assembly of Malawi,09.06.14 00:00,20.05.19 00:00
FirstNameMA2014_164 LastNameMA2014_164,Male,21.12.67,National Assembly of Malawi,09.06.14 00:00,20.05.19 00:00
FirstNameMA2014_165 LastNameMA2014_165,Male,19.09.50,National Assembly of Malawi,09.06.14 00:00,20.05.19 00:00
FirstNameMA2014_166 LastNameMA2014_166,Male,03.04.53,National Assembly of Malawi,09.06.14 00:00,20.05.19 00:00
FirstNameMA2014_167 LastNameMA2014_167,Female,30.06.59,National Assembly of Malawi,09.06.14 00:00,20.05.19 00:00
FirstNameMA2014_168 LastNameMA2014_168,Female,10.03.63,National Assembly of Malawi,09.06.14 00:00,20.05.19 00:00
FirstNameMA2014_169 LastNameMA2014_169,Male,31.10.65,National Assembly of Malawi,09.06.14 00:00,20.05.19 00:00
FirstNameMA2014_170 LastNameMA2014_170,Male,17.02.62,National Assembly of Malawi,09.06.14 00:00,20.05.19 00:00
FirstNameMA2014_171 LastNameMA2014_171,Male,17.06.71,National Assembly of Malawi,09.06.14 00:00,20.05.19 00:00
FirstNameMA2014_172 LastNameMA2014_172,Male,26.09.80,National Assembly of Malawi,09.06.14 00:00,20.05.19 00:00
FirstNameMA2014_173 LastNameMA2014_173,Male,13.02.55,National Assembly of Malawi,09.06.14 00:00,20.05.19 00:00
FirstNameMA2014_174 LastNameMA2014_174,Male,01.06.57,National Assembly of Malawi,09.06.14 00:00,20.05.19 00:00
FirstNameMA2014_175 LastNameMA2014_175,Female,21.10.51,National Assembly of Malawi,09.06.14 00:00,20.05.19 00:00
FirstNameMA2014_176 LastNameMA2014_176,Male,02.11.54,National Assembly of Malawi,09.06.14 00:00,20.05.19 00:00
FirstNameMA2014_177 LastNameMA2014_177,Female,09.11.60,National Assembly of Malawi,09.06.14 00:00,20.05.19 00:00
FirstNameMA2014_178 LastNameMA2014_178,Male,17.08.53,National Assembly of Malawi,09.06.14 00:00,20.05.19 00:00
FirstNameMA2014_179 LastNameMA2014_179,Male,09.01.56,National Assembly of Malawi,09.06.14 00:00,20.05.19 00:00
FirstNameMA2014_180 LastNameMA2014_180,Male,20.08.53,National Assembly of Malawi,09.06.14 00:00,20.05.19 00:00
FirstNameMA2014_181 LastNameMA2014_181,Male,13.03.41,National Assembly of Malawi,09.06.14 00:00,20.05.19 00:00
FirstNameMA2014_182 LastNameMA2014_182,Male,04.08.72,National Assembly of Malawi,09.06.14 00:00,20.05.19 00:00
FirstNameMA2014_183 LastNameMA2014_183,Female,06.05.50,National Assembly of Malawi,09.06.14 00:00,20.05.19 00:00
FirstNameMA2014_184 LastNameMA2014_184,Female,24.05.50,National Assembly of Malawi,09.06.14 00:00,20.05.19 00:00
FirstNameMA2014_185 LastNameMA2014_185,Male,26.03.64,National Assembly of Malawi,09.06.14 00:00,20.05.19 00:00
FirstNameMA2014_186 LastNameMA2014_186,Male,24.01.57,National Assembly of Malawi,09.06.14 00:00,20.05.19 00:00
FirstNameMA2014_187 LastNameMA2014_187,Male,13.09.64,National Assembly of Malawi,09.06.14 00:00,20.05.19 00:00
FirstNameMA2014_188 LastNameMA2014_188,Female,15.12.67,National Assembly of Malawi,09.06.14 00:00,20.05.19 00:00
FirstNameMA2014_189 LastNameMA2014_189,Male,26.07.54,National Assembly of Malawi,09.06.14 00:00,20.05.19 00:00
FirstNameMA2014_190 LastNameMA2014_190,Male,05.04.59,National Assembly of Malawi,09.06.14 00:00,20.05.19 00:00
FirstNameMA2014_191 LastNameMA2014_191,Female,28.10.60,National Assembly of Malawi,09.06.14 00:00,20.05.19 00:00
FirstNameMA2014_192 LastNameMA2014_192,Male,21.08.50,National Assembly of Malawi,09.06.14 00:00,20.05.19 00:00
FirstNameMA2014_193 LastNameMA2014_193,Male,19.07.51,National Assembly of Malawi,09.06.14 00:00,20.05.19 00:00
FirstNameMAU2018_1 LastNameMAU2018_1,Female,10.07.63,National Assembly of Mauritius,10.12.14 00:00,10.12.19 00:00
FirstNameMAU2018_2 LastNameMAU2018_2,Male,06.02.70,National Assembly of Mauritius,10.12.14 00:00,10.12.19 00:00
FirstNameMAU2018_3 LastNameMAU2018_3,Male,20.11.71,National Assembly of Mauritius,10.12.14 00:00,10.12.19 00:00
FirstNameMAU2018_4 LastNameMAU2018_4,Male,23.02.57,National Assembly of Mauritius,10.12.14 00:00,10.12.19 00:00
FirstNameMAU2018_5 LastNameMAU2018_5,Male,02.11.65,National Assembly of Mauritius,10.12.14 00:00,10.12.19 00:00
FirstNameMAU2018_6 LastNameMAU2018_6,Male,11.07.61,National Assembly of Mauritius,10.12.14 00:00,10.12.19 00:00
FirstNameMAU2018_7 LastNameMAU2018_7,Female,10.07.56,National Assembly of Mauritius,10.12.14 00:00,10.12.19 00:00
FirstNameMAU2018_8 LastNameMAU2018_8,Male,16.10.67,National Assembly of Mauritius,10.12.14 00:00,10.12.19 00:00
FirstNameMAU2018_9 LastNameMAU2018_9,Male,06.05.63,National Assembly of Mauritius,10.12.14 00:00,10.12.19 00:00
FirstNameMAU2018_10 LastNameMAU2018_10,Male,10.02.54,National Assembly of Mauritius,10.12.14 00:00,10.12.19 00:00
FirstNameMAU2018_11 LastNameMAU2018_11,Male,10.09.68,National Assembly of Mauritius,10.12.14 00:00,10.12.19 00:00
FirstNameMAU2018_12 LastNameMAU2018_12,Male,29.03.63,National Assembly of Mauritius,10.12.14 00:00,10.12.19 00:00
FirstNameMAU2018_13 LastNameMAU2018_13,Female,29.03.58,National Assembly of Mauritius,10.12.14 00:00,10.12.19 00:00
FirstNameMAU2018_14 LastNameMAU2018_14,Male,09.06.79,National Assembly of Mauritius,10.12.14 00:00,10.12.19 00:00
FirstNameMAU2018_15 LastNameMAU2018_15,Male,23.08.82,National Assembly of Mauritius,10.12.14 00:00,10.12.19 00:00
FirstNameMAU2018_16 LastNameMAU2018_16,Male,22.02.74,National Assembly of Mauritius,10.12.14 00:00,10.12.19 00:00
FirstNameMAU2018_17 LastNameMAU2018_17,Male,02.05.71,National Assembly of Mauritius,10.12.14 00:00,10.12.19 00:00
FirstNameMAU2018_18 LastNameMAU2018_18,Male,19.01.48,National Assembly of Mauritius,10.12.14 00:00,10.12.19 00:00
FirstNameMAU2018_19 LastNameMAU2018_19,Male,30.03.59,National Assembly of Mauritius,10.12.14 00:00,10.12.19 00:00
FirstNameMAU2018_20 LastNameMAU2018_20,Male,10.05.65,National Assembly of Mauritius,10.12.14 00:00,10.12.19 00:00
FirstNameMAU2018_21 LastNameMAU2018_21,Male,16.02.58,National Assembly of Mauritius,10.12.14 00:00,10.12.19 00:00
FirstNameMAU2018_22 LastNameMAU2018_22,Male,15.09.62,National Assembly of Mauritius,10.12.14 00:00,10.12.19 00:00
FirstNameMAU2018_23 LastNameMAU2018_23,Male,12.11.66,National Assembly of Mauritius,10.12.14 00:00,10.12.19 00:00
FirstNameMAU2018_24 LastNameMAU2018_24,Male,11.07.53,National Assembly of Mauritius,10.12.14 00:00,10.12.19 00:00
FirstNameMAU2018_25 LastNameMAU2018_25,Male,08.03.58,National Assembly of Mauritius,10.12.14 00:00,10.12.19 00:00
FirstNameMAU2018_26 LastNameMAU2018_26,Male,18.05.49,National Assembly of Mauritius,10.12.14 00:00,10.12.19 00:00
FirstNameMAU2018_27 LastNameMAU2018_27,Male,11.12.67,National Assembly of Mauritius,10.12.14 00:00,10.12.19 00:00
FirstNameMAU2018_28 LastNameMAU2018_28,Male,21.08.52,National Assembly of Mauritius,10.12.14 00:00,10.12.19 00:00
FirstNameMAU2018_29 LastNameMAU2018_29,Male,02.10.55,National Assembly of Mauritius,10.12.14 00:00,10.12.19 00:00
FirstNameMAU2018_30 LastNameMAU2018_30,Male,25.09.61,National Assembly of Mauritius,10.12.14 00:00,10.12.19 00:00
FirstNameMAU2018_31 LastNameMAU2018_31,Male,09.12.64,National Assembly of Mauritius,10.12.14 00:00,10.12.19 00:00
FirstNameMAU2018_32 LastNameMAU2018_32,Male,29.09.67,National Assembly of Mauritius,10.12.14 00:00,10.12.19 00:00
FirstNameMAU2018_33 LastNameMAU2018_33,Male,10.04.58,National Assembly of Mauritius,10.12.14 00:00,10.12.19 00:00
FirstNameMAU2018_34 LastNameMAU2018_34,Male,02.05.73,National Assembly of Mauritius,10.12.14 00:00,10.12.19 00:00
FirstNameMAU2018_35 LastNameMAU2018_35,Male,17.08.59,National Assembly of Mauritius,10.12.14 00:00,10.12.19 00:00
FirstNameMAU2018_36 LastNameMAU2018_36,Female,07.03.70,National Assembly of Mauritius,10.12.14 00:00,10.12.19 00:00
FirstNameMAU2018_37 LastNameMAU2018_37,Male,06.10.68,National Assembly of Mauritius,10.12.14 00:00,10.12.19 00:00
FirstNameMAU2018_38 LastNameMAU2018_38,Male,17.07.70,National Assembly of Mauritius,10.12.14 00:00,10.12.19 00:00
FirstNameMAU2018_39 LastNameMAU2018_39,Male,20.06.55,National Assembly of Mauritius,10.12.14 00:00,10.12.19 00:00
FirstNameMAU2018_40 LastNameMAU2018_40,Male,27.03.61,National Assembly of Mauritius,10.12.14 00:00,10.12.19 00:00
FirstNameMAU2018_41 LastNameMAU2018_41,Male,01.03.77,National Assembly of Mauritius,10.12.14 00:00,10.12.19 00:00
FirstNameMAU2018_42 LastNameMAU2018_42,Male,10.10.66,National Assembly of Mauritius,10.12.14 00:00,10.12.19 00:00
FirstNameMAU2018_43 LastNameMAU2018_43,Male,14.06.43,National Assembly of Mauritius,10.12.14 00:00,10.12.19 00:00
FirstNameMAU2018_44 LastNameMAU2018_44,Female,15.07.59,National Assembly of Mauritius,10.12.14 00:00,10.12.19 00:00
FirstNameMAU2018_45 LastNameMAU2018_45,Male,29.11.62,National Assembly of Mauritius,10.12.14 00:00,10.12.19 00:00
FirstNameMAU2018_46 LastNameMAU2018_46,Male,09.12.71,National Assembly of Mauritius,10.12.14 00:00,10.12.19 00:00
FirstNameMAU2018_47 LastNameMAU2018_47,Female,07.04.68,National Assembly of Mauritius,10.12.14 00:00,10.12.19 00:00
FirstNameMAU2018_48 LastNameMAU2018_48,Male,11.01.79,National Assembly of Mauritius,10.12.14 00:00,10.12.19 00:00
FirstNameMAU2018_49 LastNameMAU2018_49,Female,23.11.53,National Assembly of Mauritius,10.12.14 00:00,10.12.19 00:00
FirstNameMAU2018_50 LastNameMAU2018_50,Male,24.11.59,National Assembly of Mauritius,10.12.14 00:00,10.12.19 00:00
FirstNameMAU2018_51 LastNameMAU2018_51,Male,04.02.73,National Assembly of Mauritius,10.12.14 00:00,10.12.19 00:00
FirstNameMAU2018_52 LastNameMAU2018_52,Male,12.12.71,National Assembly of Mauritius,10.12.14 00:00,10.12.19 00:00
FirstNameMAU2018_53 LastNameMAU2018_53,Male,29.08.64,National Assembly of Mauritius,10.12.14 00:00,10.12.19 00:00
FirstNameMAU2018_54 LastNameMAU2018_54,Male,15.10.57,National Assembly of Mauritius,10.12.14 00:00,10.12.19 00:00
FirstNameMAU2018_55 LastNameMAU2018_55,Male,17.04.63,National Assembly of Mauritius,10.12.14 00:00,10.12.19 00:00
FirstNameMAU2018_56 LastNameMAU2018_56,Male,29.01.71,National Assembly of Mauritius,10.12.14 00:00,10.12.19 00:00
FirstNameMAU2018_57 LastNameMAU2018_57,Male,15.11.49,National Assembly of Mauritius,10.12.14 00:00,10.12.19 00:00
FirstNameMAU2018_58 LastNameMAU2018_58,Male,21.11.74,National Assembly of Mauritius,10.12.14 00:00,10.12.19 00:00
FirstNameMAU2018_59 LastNameMAU2018_59,Male,01.06.67,National Assembly of Mauritius,10.12.14 00:00,10.12.19 00:00
FirstNameMAU2018_60 LastNameMAU2018_60,Male,31.08.68,National Assembly of Mauritius,10.12.14 00:00,10.12.19 00:00
FirstNameMAU2018_61 LastNameMAU2018_61,Male,13.09.59,National Assembly of Mauritius,10.12.14 00:00,10.12.19 00:00
FirstNameMAU2018_62 LastNameMAU2018_62,Female,23.09.57,National Assembly of Mauritius,10.12.14 00:00,10.12.19 00:00
FirstNameMAU2018_63 LastNameMAU2018_63,Male,18.08.66,National Assembly of Mauritius,10.12.14 00:00,10.12.19 00:00
FirstNameMAU2018_64 LastNameMAU2018_64,Male,03.11.74,National Assembly of Mauritius,10.12.14 00:00,10.12.19 00:00
FirstNameMAU2018_65 LastNameMAU2018_65,Female,12.08.71,National Assembly of Mauritius,10.12.14 00:00,10.12.19 00:00
FirstNameMAU2018_66 LastNameMAU2018_66,Male,17.09.55,National Assembly of Mauritius,10.12.14 00:00,10.12.19 00:00
FirstNameMAU2018_67 LastNameMAU2018_67,Female,25.01.50,National Assembly of Mauritius,10.12.14 00:00,10.12.19 00:00
FirstNameMAU2018_68 LastNameMAU2018_68,Male,11.11.73,National Assembly of Mauritius,10.12.14 00:00,10.12.19 00:00
FirstNameMAU2018_69 LastNameMAU2018_69,Male,30.12.57,National Assembly of Mauritius,10.12.14 00:00,10.12.19 00:00
FirstNameMAU2018_70 LastNameMAU2018_70,Male,08.04.45,National Assembly of Mauritius,10.12.14 00:00,10.12.19 00:00
FirstNameMAU2010_1 LastNameMAU2010_1,Male,22.12.45,National Assembly of Mauritius,10.05.10 00:00,09.12.14 00:00
FirstNameMAU2010_2 LastNameMAU2010_2,Male,13.10.52,National Assembly of Mauritius,10.05.10 00:00,09.12.14 00:00
FirstNameMAU2010_3 LastNameMAU2010_3,Female,07.12.45,National Assembly of Mauritius,10.05.10 00:00,09.12.14 00:00
FirstNameMAU2010_4 LastNameMAU2010_4,Female,07.03.62,National Assembly of Mauritius,10.05.10 00:00,09.12.14 00:00
FirstNameMAU2010_5 LastNameMAU2010_5,Male,18.01.38,National Assembly of Mauritius,10.05.10 00:00,09.12.14 00:00
FirstNameMAU2010_6 LastNameMAU2010_6,Female,28.05.65,National Assembly of Mauritius,10.05.10 00:00,09.12.14 00:00
FirstNameMAU2010_7 LastNameMAU2010_7,Male,14.04.44,National Assembly of Mauritius,10.05.10 00:00,09.12.14 00:00
FirstNameMAU2010_8 LastNameMAU2010_8,Male,14.02.54,National Assembly of Mauritius,10.05.10 00:00,09.12.14 00:00
FirstNameMAU2010_9 LastNameMAU2010_9,Male,11.01.70,National Assembly of Mauritius,10.05.10 00:00,09.12.14 00:00
FirstNameMAU2010_10 LastNameMAU2010_10,Male,25.11.27,National Assembly of Mauritius,10.05.10 00:00,09.12.14 00:00
FirstNameMAU2010_11 LastNameMAU2010_11,Male,01.12.52,National Assembly of Mauritius,10.05.10 00:00,09.12.14 00:00
FirstNameMAU2010_12 LastNameMAU2010_12,Male,16.12.50,National Assembly of Mauritius,10.05.10 00:00,09.12.14 00:00
FirstNameMAU2010_13 LastNameMAU2010_13,Male,09.09.64,National Assembly of Mauritius,10.05.10 00:00,09.12.14 00:00
FirstNameMAU2010_14 LastNameMAU2010_14,Male,25.03.51,National Assembly of Mauritius,10.05.10 00:00,09.12.14 00:00
FirstNameMAU2010_15 LastNameMAU2010_15,Male,13.01.60,National Assembly of Mauritius,10.05.10 00:00,09.12.14 00:00
FirstNameMAU2010_16 LastNameMAU2010_16,Male,16.11.45,National Assembly of Mauritius,10.05.10 00:00,09.12.14 00:00
FirstNameMAU2010_17 LastNameMAU2010_17,Male,29.08.38,National Assembly of Mauritius,10.05.10 00:00,09.12.14 00:00
FirstNameMAU2010_18 LastNameMAU2010_18,Male,08.09.63,National Assembly of Mauritius,10.05.10 00:00,09.12.14 00:00
FirstNameMAU2010_19 LastNameMAU2010_19,Male,25.02.54,National Assembly of Mauritius,10.05.10 00:00,09.12.14 00:00
FirstNameMAU2010_20 LastNameMAU2010_20,Male,03.10.57,National Assembly of Mauritius,10.05.10 00:00,09.12.14 00:00
FirstNameMAU2010_21 LastNameMAU2010_21,Male,03.04.49,National Assembly of Mauritius,10.05.10 00:00,09.12.14 00:00
FirstNameMAU2010_22 LastNameMAU2010_22,Male,26.03.59,National Assembly of Mauritius,10.05.10 00:00,09.12.14 00:00
FirstNameMAU2010_23 LastNameMAU2010_23,Male,16.08.31,National Assembly of Mauritius,10.05.10 00:00,09.12.14 00:00
FirstNameMAU2010_24 LastNameMAU2010_24,Male,25.06.47,National Assembly of Mauritius,10.05.10 00:00,09.12.14 00:00
FirstNameMAU2010_25 LastNameMAU2010_25,Male,29.03.55,National Assembly of Mauritius,10.05.10 00:00,09.12.14 00:00
FirstNameMAU2010_26 LastNameMAU2010_26,Male,05.04.51,National Assembly of Mauritius,10.05.10 00:00,09.12.14 00:00
FirstNameMAU2010_27 LastNameMAU2010_27,Male,26.02.46,National Assembly of Mauritius,10.05.10 00:00,09.12.14 00:00
FirstNameMAU2010_28 LastNameMAU2010_28,Male,01.03.46,National Assembly of Mauritius,10.05.10 00:00,09.12.14 00:00
FirstNameMAU2010_29 LastNameMAU2010_29,Female,05.03.56,National Assembly of Mauritius,10.05.10 00:00,09.12.14 00:00
FirstNameMAU2010_30 LastNameMAU2010_30,Female,16.01.28,National Assembly of Mauritius,10.05.10 00:00,09.12.14 00:00
FirstNameMAU2010_31 LastNameMAU2010_31,Male,23.03.46,National Assembly of Mauritius,10.05.10 00:00,09.12.14 00:00
FirstNameMAU2010_32 LastNameMAU2010_32,Male,01.12.44,National Assembly of Mauritius,10.05.10 00:00,09.12.14 00:00
FirstNameMAU2010_33 LastNameMAU2010_33,Male,18.12.73,National Assembly of Mauritius,10.05.10 00:00,09.12.14 00:00
FirstNameMAU2010_34 LastNameMAU2010_34,Female,08.11.59,National Assembly of Mauritius,10.05.10 00:00,09.12.14 00:00
FirstNameMAU2010_35 LastNameMAU2010_35,Male,04.06.51,National Assembly of Mauritius,10.05.10 00:00,09.12.14 00:00
FirstNameMAU2010_36 LastNameMAU2010_36,Male,21.05.20,National Assembly of Mauritius,10.05.10 00:00,09.12.14 00:00
FirstNameMAU2010_37 LastNameMAU2010_37,Male,03.05.49,National Assembly of Mauritius,10.05.10 00:00,09.12.14 00:00
FirstNameMAU2010_38 LastNameMAU2010_38,Male,08.05.64,National Assembly of Mauritius,10.05.10 00:00,09.12.14 00:00
FirstNameMAU2010_39 LastNameMAU2010_39,Male,04.12.54,National Assembly of Mauritius,10.05.10 00:00,09.12.14 00:00
FirstNameMAU2010_40 LastNameMAU2010_40,Female,18.12.37,National Assembly of Mauritius,10.05.10 00:00,09.12.14 00:00
FirstNameMAU2010_41 LastNameMAU2010_41,Male,03.10.44,National Assembly of Mauritius,10.05.10 00:00,09.12.14 00:00
FirstNameMAU2010_42 LastNameMAU2010_42,Male,13.09.65,National Assembly of Mauritius,10.05.10 00:00,09.12.14 00:00
FirstNameMAU2010_43 LastNameMAU2010_43,Male,29.01.53,National Assembly of Mauritius,10.05.10 00:00,09.12.14 00:00
FirstNameMAU2010_44 LastNameMAU2010_44,Male,08.10.35,National Assembly of Mauritius,10.05.10 00:00,09.12.14 00:00
FirstNameMAU2010_45 LastNameMAU2010_45,Male,02.10.55,National Assembly of Mauritius,10.05.10 00:00,09.12.14 00:00
FirstNameMAU2010_46 LastNameMAU2010_46,Male,12.06.52,National Assembly of Mauritius,10.05.10 00:00,09.12.14 00:00
FirstNameMAU2010_47 LastNameMAU2010_47,Male,23.11.37,National Assembly of Mauritius,10.05.10 00:00,09.12.14 00:00
FirstNameMAU2010_48 LastNameMAU2010_48,Male,20.12.41,National Assembly of Mauritius,10.05.10 00:00,09.12.14 00:00
FirstNameMAU2010_49 LastNameMAU2010_49,Male,05.10.41,National Assembly of Mauritius,10.05.10 00:00,09.12.14 00:00
FirstNameMAU2010_50 LastNameMAU2010_50,Female,23.09.55,National Assembly of Mauritius,10.05.10 00:00,09.12.14 00:00
FirstNameMAU2010_51 LastNameMAU2010_51,Female,07.12.33,National Assembly of Mauritius,10.05.10 00:00,09.12.14 00:00
FirstNameMAU2010_52 LastNameMAU2010_52,Male,13.12.65,National Assembly of Mauritius,10.05.10 00:00,09.12.14 00:00
FirstNameMAU2010_53 LastNameMAU2010_53,Female,31.07.48,National Assembly of Mauritius,10.05.10 00:00,09.12.14 00:00
FirstNameMAU2010_54 LastNameMAU2010_54,Female,01.03.46,National Assembly of Mauritius,10.05.10 00:00,09.12.14 00:00
FirstNameMAU2010_55 LastNameMAU2010_55,Male,08.10.52,National Assembly of Mauritius,10.05.10 00:00,09.12.14 00:00
FirstNameMAU2010_56 LastNameMAU2010_56,Male,17.05.63,National Assembly of Mauritius,10.05.10 00:00,09.12.14 00:00
FirstNameMAU2010_57 LastNameMAU2010_57,Male,03.11.58,National Assembly of Mauritius,10.05.10 00:00,09.12.14 00:00
FirstNameMAU2010_58 LastNameMAU2010_58,Male,17.10.33,National Assembly of Mauritius,10.05.10 00:00,09.12.14 00:00
FirstNameMAU2010_59 LastNameMAU2010_59,Male,25.02.55,National Assembly of Mauritius,10.05.10 00:00,09.12.14 00:00
FirstNameMAU2010_60 LastNameMAU2010_60,Male,21.02.46,National Assembly of Mauritius,10.05.10 00:00,09.12.14 00:00
FirstNameMAU2010_61 LastNameMAU2010_61,Male,27.04.51,National Assembly of Mauritius,10.05.10 00:00,09.12.14 00:00
FirstNameMAU2010_62 LastNameMAU2010_62,Female,21.02.60,National Assembly of Mauritius,10.05.10 00:00,09.12.14 00:00
FirstNameMAU2010_63 LastNameMAU2010_63,Male,20.06.59,National Assembly of Mauritius,10.05.10 00:00,09.12.14 00:00
FirstNameMAU2010_64 LastNameMAU2010_64,Male,01.07.55,National Assembly of Mauritius,10.05.10 00:00,09.12.14 00:00
FirstNameMAU2010_65 LastNameMAU2010_65,Male,03.01.61,National Assembly of Mauritius,10.05.10 00:00,09.12.14 00:00
FirstNameMAU2010_66 LastNameMAU2010_66,Male,20.08.46,National Assembly of Mauritius,10.05.10 00:00,09.12.14 00:00
